block,censuscode,district,dt_cen_cd,st_cen_cd,st_nm,bl_cen_cd
Rosera,221,Samastipur,19,10,Bihar,288
Singhia,221,Samastipur,19,10,Bihar,289
Hasanpur,221,Samastipur,19,10,Bihar,290
Bithan,221,Samastipur,19,10,Bihar,291
Khudabandpur,222,Begusarai,20,10,Bihar,292
Chhorahi,222,Begusarai,20,10,Bihar,293
Garhpura,222,Begusarai,20,10,Bihar,294
Cheria Bariarpur,222,Begusarai,20,10,Bihar,295
Bhagwanpur,222,Begusarai,20,10,Bihar,296
Mansurchak,222,Begusarai,20,10,Bihar,297
Bachhwara,222,Begusarai,20,10,Bihar,298
Teghra,222,Begusarai,20,10,Bihar,299
Barauni,222,Begusarai,20,10,Bihar,300
Birpur,222,Begusarai,20,10,Bihar,301
Begusarai,222,Begusarai,20,10,Bihar,302
Naokothi,222,Begusarai,20,10,Bihar,303
Bakhri,222,Begusarai,20,10,Bihar,304
Dandari,222,Begusarai,20,10,Bihar,305
Sahebpur Kamal,222,Begusarai,20,10,Bihar,306
Balia,222,Begusarai,20,10,Bihar,307
Matihani,222,Begusarai,20,10,Bihar,308
Shamho Akha Kurha,222,Begusarai,20,10,Bihar,309
Alauli,223,Khagaria,21,10,Bihar,310
Khagaria,223,Khagaria,21,10,Bihar,311
Mansi,223,Khagaria,21,10,Bihar,312
Chautham,223,Khagaria,21,10,Bihar,313
Beldaur,223,Khagaria,21,10,Bihar,314
Gogri,223,Khagaria,21,10,Bihar,315
Parbatta,223,Khagaria,21,10,Bihar,316
Narayanpur,224,Bhagalpur,22,10,Bihar,317
Bihpur,224,Bhagalpur,22,10,Bihar,318
Kharik,224,Bhagalpur,22,10,Bihar,319
Naugachhia,224,Bhagalpur,22,10,Bihar,320
Rangra Chowk,224,Bhagalpur,22,10,Bihar,321
Gopalpur,224,Bhagalpur,22,10,Bihar,322
Pirpainti,224,Bhagalpur,22,10,Bihar,323
Colgong,224,Bhagalpur,22,10,Bihar,324
Ismailpur,224,Bhagalpur,22,10,Bihar,325
Sabour,224,Bhagalpur,22,10,Bihar,326
Nathnagar,224,Bhagalpur,22,10,Bihar,327
Sultanganj,224,Bhagalpur,22,10,Bihar,328
Shahkund,224,Bhagalpur,22,10,Bihar,329
Goradih,224,Bhagalpur,22,10,Bihar,330
Jagdishpur,224,Bhagalpur,22,10,Bihar,331
Sonhaula,224,Bhagalpur,22,10,Bihar,332
Shambhuganj,225,Banka,23,10,Bihar,333
Amarpur,225,Banka,23,10,Bihar,334
Rajaun,225,Banka,23,10,Bihar,335
Dhuraiya,225,Banka,23,10,Bihar,336
Barahat,225,Banka,23,10,Bihar,337
Banka,225,Banka,23,10,Bihar,338
Phulidumar,225,Banka,23,10,Bihar,339
Belhar,225,Banka,23,10,Bihar,340
Chanan,225,Banka,23,10,Bihar,341
Katoria,225,Banka,23,10,Bihar,342
Bausi,225,Banka,23,10,Bihar,343
Munger,226,Munger,24,10,Bihar,344
Bariarpur,226,Munger,24,10,Bihar,345
Jamalpur,226,Munger,24,10,Bihar,346
Dharhara,226,Munger,24,10,Bihar,347
Kharagpur,226,Munger,24,10,Bihar,348
Asarganj,226,Munger,24,10,Bihar,349
Tarapur,226,Munger,24,10,Bihar,350
Tetiha Bambor,226,Munger,24,10,Bihar,351
Sangrampur,226,Munger,24,10,Bihar,352
Barahiya,227,Lakhisarai,25,10,Bihar,353
Pipariya,227,Lakhisarai,25,10,Bihar,354
Surajgarha,227,Lakhisarai,25,10,Bihar,355
Lakhisarai,227,Lakhisarai,25,10,Bihar,356
Chanan,227,Lakhisarai,25,10,Bihar,357
Ramgarh Chowk,227,Lakhisarai,25,10,Bihar,358
Halsi,227,Lakhisarai,25,10,Bihar,359
Barbigha,228,Sheikhpura,26,10,Bihar,360
Shekhopur Sarai,228,Sheikhpura,26,10,Bihar,361
Sheikhpura,228,Sheikhpura,26,10,Bihar,362
Ghat Kusumbha,228,Sheikhpura,26,10,Bihar,363
Chewara,228,Sheikhpura,26,10,Bihar,364
Ariari,228,Sheikhpura,26,10,Bihar,365
Karai Parsurai,229,Nalanda,27,10,Bihar,366
Nagar Nausa,229,Nalanda,27,10,Bihar,367
Harnaut,229,Nalanda,27,10,Bihar,368
Chandi,229,Nalanda,27,10,Bihar,369
Rahui,229,Nalanda,27,10,Bihar,370
Bind,229,Nalanda,27,10,Bihar,371
Sarmera,229,Nalanda,27,10,Bihar,372
Asthawan,229,Nalanda,27,10,Bihar,373
Bihar,229,Nalanda,27,10,Bihar,374
Noorsarai,229,Nalanda,27,10,Bihar,375
Tharthari,229,Nalanda,27,10,Bihar,376
Parbalpur,229,Nalanda,27,10,Bihar,377
Hilsa,229,Nalanda,27,10,Bihar,378
Ekangarsarai,229,Nalanda,27,10,Bihar,379
Islampur,229,Nalanda,27,10,Bihar,380
Ben,229,Nalanda,27,10,Bihar,381
Rajgir,229,Nalanda,27,10,Bihar,382
Silao,229,Nalanda,27,10,Bihar,383
Giriak,229,Nalanda,27,10,Bihar,384
Katrisarai,229,Nalanda,27,10,Bihar,385
Maner,230,Patna,28,10,Bihar,386
Dinapur-Cum-Khagaul,230,Patna,28,10,Bihar,387
Patna Rural,230,Patna,28,10,Bihar,388
Sampatchak,230,Patna,28,10,Bihar,389
Phulwari,230,Patna,28,10,Bihar,390
Bihta,230,Patna,28,10,Bihar,391
Naubatpur,230,Patna,28,10,Bihar,392
Bikram,230,Patna,28,10,Bihar,393
Dulhin Bazar,230,Patna,28,10,Bihar,394
Paliganj,230,Patna,28,10,Bihar,395
Masaurhi,230,Patna,28,10,Bihar,396
Dhanarua,230,Patna,28,10,Bihar,397
Punpun,230,Patna,28,10,Bihar,398
Fatwah,230,Patna,28,10,Bihar,399
Daniawan,230,Patna,28,10,Bihar,400
Khusrupur,230,Patna,28,10,Bihar,401
Bakhtiarpur,230,Patna,28,10,Bihar,402
Athmalgola,230,Patna,28,10,Bihar,403
Belchhi,230,Patna,28,10,Bihar,404
Barh,230,Patna,28,10,Bihar,405
Pandarak,230,Patna,28,10,Bihar,406
Ghoswari,230,Patna,28,10,Bihar,407
Mokameh,230,Patna,28,10,Bihar,408
Shahpur,231,Bhojpur,29,10,Bihar,409
Arrah,231,Bhojpur,29,10,Bihar,410
Barhara,231,Bhojpur,29,10,Bihar,411
Koilwar,231,Bhojpur,29,10,Bihar,412
Sandesh,231,Bhojpur,29,10,Bihar,413
Udwant Nagar,231,Bhojpur,29,10,Bihar,414
Behea,231,Bhojpur,29,10,Bihar,415
Jagdishpur,231,Bhojpur,29,10,Bihar,416
Piro,231,Bhojpur,29,10,Bihar,417
Charpokhari,231,Bhojpur,29,10,Bihar,418
Garhani,231,Bhojpur,29,10,Bihar,419
Agiaon,231,Bhojpur,29,10,Bihar,420
Tarari,231,Bhojpur,29,10,Bihar,421
Sahar,231,Bhojpur,29,10,Bihar,422
Simri,232,Buxar,30,10,Bihar,423
Chakki,232,Buxar,30,10,Bihar,424
Barhampur,232,Buxar,30,10,Bihar,425
Chaugain,232,Buxar,30,10,Bihar,426
Kesath,232,Buxar,30,10,Bihar,427
Dumraon,232,Buxar,30,10,Bihar,428
Buxar,232,Buxar,30,10,Bihar,429
Chausa,232,Buxar,30,10,Bihar,430
Rajpur,232,Buxar,30,10,Bihar,431
Itarhi,232,Buxar,30,10,Bihar,432
Nawanagar,232,Buxar,30,10,Bihar,433
Ramgarh,233,Kaimur,31,10,Bihar,434
Nuaon,233,Kaimur,31,10,Bihar,435
Kudra,233,Kaimur,31,10,Bihar,436
Mohania,233,Kaimur,31,10,Bihar,437
Durgawati,233,Kaimur,31,10,Bihar,438
Chand,233,Kaimur,31,10,Bihar,439
Chainpur,233,Kaimur,31,10,Bihar,440
Bhabua,233,Kaimur,31,10,Bihar,441
Rampur,233,Kaimur,31,10,Bihar,442
Bhagwanpur,233,Kaimur,31,10,Bihar,443
Adhaura,233,Kaimur,31,10,Bihar,444
Kochas,234,Rohtas,32,10,Bihar,445
