DIST_NAME,PERIMETER,INDIAASSEM,INDIAASS,ST_CODE,AC_NAME,AC_TYPE,PC_NO,ac_no,Longitude,Latitude,State,PC_NAME,PC_TYPE,PC_CODE
Bhavnagar,0.173,2604,6054,S06,Mahuva,GEN,8,54,71.6393901941,21.1957081942,Gujarat,Bhavnagar,GEN,S0608
Surat,0.212,2606,6163,S06,Songadh,ST,25,163,73.5069469788,21.2734417476,Gujarat,Mandvi,ST,S0625
Junagadh,0.181,2609,6037,S06,Talala,GEN,6,37,70.5710676464,21.0163373251,Gujarat,Junagadh,GEN,S0606
Surat,0.152,2610,6166,S06,Bardoli,ST,25,166,73.1618226533,21.2095015083,Gujarat,Mandvi,ST,S0625
Junagadh,0.106,2612,6047,S06,Kodinar,GEN,7,47,70.9201701602,20.9514225982,Gujarat,Junagadh,GEN,S0606
Surat,0.139,2618,6167,S06,Kamrej,ST,25,167,73.0061282956,21.2013023459,Gujarat,Mandvi,ST,S0625
Surat,0.117,2631,6172,S06,Chorasi,GEN,24,172,72.8698477374,21.1518304502,Gujarat,Surat,GEN,S0624
Junagadh,0.208,2633,6039,S06,Una,GEN,6,39,70.9528085272,20.9279876015,Gujarat,Junagadh,GEN,S0606
Surat,0.162,2637,6164,S06,Vyara,ST,25,164,73.4055878846,20.9910360345,Gujarat,Mandvi,ST,S0625
Amreli,0.207,2639,6048,S06,Rajula,GEN,7,48,71.3684792646,20.9940859506,Gujarat,Amreli,GEN,S0607
Surat,0.023,2640,6171,S06,Surat City West,GEN,24,171,72.7963627086,21.191973231,Gujarat,,,
Junagadh,0.108,2641,6038,S06,Somnath,GEN,6,38,70.3128691673,20.9441913894,Gujarat,Junagadh,GEN,S0606
Surat,0.008,2647,6169,S06,Surat City North,GEN,24,169,72.8347440503,21.1997963057,Gujarat,Surat,GEN,S0624
Surat,0.007,2650,6170,S06,Surat City East,GEN,24,170,72.8319955823,21.1853522549,Gujarat,Surat,GEN,S0624
Surat,0.138,2653,6165,S06,Mahuva,ST,25,165,73.2223431397,20.9849489313,Gujarat,Mandvi,ST,S0625
,0.199,2682,6173,S06,Jalalpore,GEN,24,173,72.8830820736,20.9584295408,Gujarat,,,
The Dangs,0.24,2691,6177,S06,Dangs-Bansda,ST,26,177,73.6551139803,20.7635851445,Gujarat,Bulsar,ST,S0626
Navsari,0.05,2693,6174,S06,Navsari,ST,24,174,73.0198378746,20.9233392231,Gujarat,Surat,GEN,S0624
Navsari,0.221,2711,6179,S06,Dharampur,ST,26,179,73.2484141955,20.6108055314,Gujarat,Bulsar,ST,S0626
Navsari,0.095,2714,6175,S06,Gandevi,GEN,26,175,72.9904161966,20.8172110283,Gujarat,Bulsar,ST,S0626
Navsari,0.094,2726,6176,S06,Chikhli,ST,25,176,73.1285349111,20.6993453146,Gujarat,Bulsar,ST,S0626
Valsad,0.102,2738,6178,S06,Bulsar,GEN,26,178,72.9679584098,20.6418982628,Gujarat,Bulsar,ST,S0626
Valsad,0.101,2763,6181,S06,Pardi,ST,26,181,72.9678405458,20.4863758542,Gujarat,Bulsar,ST,S0626
Valsad,0.261,2767,6180,S06,Mota Pondha,ST,26,180,73.2231461953,20.3229824123,Gujarat,Bulsar,ST,S0626
Valsad,0.125,2795,6182,S06,Umbergaon,ST,26,182,72.8400832194,20.2647166209,Gujarat,Bulsar,ST,S0626
Kachchh,0.321,2081,6004,S06,Mundra,SC,1,4,69.7501517584,23.0052809938,Gujarat,Kutch,GEN,S0601
