ac_name,ac_no,dist_name,dt_code,pc_id,pc_name,pc_no,st_code,st_name
Khambhat,108,ANAND  *,15,2416,ANAND,16,24,GUJARAT
Rajkot Rural(SC),71,RAJKOT,09,2410,RAJKOT,10,24,GUJARAT
Vaghodia,136,VADODARA,19,2420,VADODARA,20,24,GUJARAT
Borsad,109,ANAND  *,15,2416,ANAND,16,24,GUJARAT
Botad,107,BHAVNAGAR,14,2415,BHAVNAGAR,15,24,GUJARAT
Rajkot East,68,RAJKOT,09,2410,RAJKOT,10,24,GUJARAT
Jasdan,72,RAJKOT,09,2410,RAJKOT,10,24,GUJARAT
Mahuva (ST),170,SURAT,22,2423,BARDOLI (ST),23,24,GUJARAT
Sankheda(ST),139,VADODARA,19,2421,CHHOTA UDAIPUR(ST),21,24,GUJARAT
Vadodara City(SC),141,VADODARA,19,2420,VADODARA,20,24,GUJARAT
Raopura,144,VADODARA,19,2420,VADODARA,20,24,GUJARAT
Akota,143,VADODARA,19,2420,VADODARA,20,24,GUJARAT
Jetpur (ST),138,VADODARA,19,2421,CHHOTA UDAIPUR(ST),21,24,GUJARAT
Choryasi,168,SURAT,22,2425,NAVSARI,25,24,GUJARAT
Dabhoi,140,VADODARA,19,2421,CHHOTA UDAIPUR(ST),21,24,GUJARAT
Gondal,73,RAJKOT,09,2411,PORBANDAR,11,24,GUJARAT
Gadhada (SC),106,BHAVNAGAR,14,2415,BHAVNAGAR,15,24,GUJARAT
Jetpur,74,RAJKOT,09,2411,PORBANDAR,11,24,GUJARAT
Dhoraji,75,RAJKOT,09,2411,PORBANDAR,11,24,GUJARAT
Bhavnagar Rural,103,BHAVNAGAR,14,2415,BHAVNAGAR,15,24,GUJARAT
Karjan,147,VADODARA,19,2422,BHARUCH,22,24,GUJARAT
Lathi,96,AMRELI,13,2414,AMRELI,14,24,GUJARAT
Kutiyana,84,PORBANDAR  *,11,2411,PORBANDAR,11,24,GUJARAT
Nandod (ST),148,NARMADA  *,20,2421,CHHOTA UDAIPUR(ST),21,24,GUJARAT
Amreli,95,AMRELI,13,2414,AMRELI,14,24,GUJARAT
Vagra,151,BHARUCH,21,2422,BHARUCH,22,24,GUJARAT
Jhagadia (ST),152,BHARUCH,21,2422,BHARUCH,22,24,GUJARAT
Manavadar,85,JUNAGADH,12,2411,PORBANDAR,11,24,GUJARAT
Bhavnagar East,104,BHAVNAGAR,14,2415,BHAVNAGAR,15,24,GUJARAT
Palitana,102,BHAVNAGAR,14,2415,BHAVNAGAR,15,24,GUJARAT
Junagadh,86,JUNAGADH,12,2413,JUNAGADH,13,24,GUJARAT
Kodinar (SC),92,JUNAGADH,12,2413,JUNAGADH,13,24,GUJARAT
Visavadar,87,JUNAGADH,12,2413,JUNAGADH,13,24,GUJARAT
Gariadhar,101,BHAVNAGAR,14,2414,AMRELI,14,24,GUJARAT
Keshod,88,JUNAGADH,12,2411,PORBANDAR,11,24,GUJARAT
Dhari,94,AMRELI,13,2414,AMRELI,14,24,GUJARAT
Savarkundla,97,AMRELI,13,2414,AMRELI,14,24,GUJARAT
Dediapada(ST),149,NARMADA  *,20,2422,BHARUCH,22,24,GUJARAT
Valsad,179,VALSAD,25,2426,VALSAD (ST),26,24,GUJARAT
Talaja,100,BHAVNAGAR,14,2415,BHAVNAGAR,15,24,GUJARAT
Mangrol (ST),156,SURAT,22,2423,BARDOLI (ST),23,24,GUJARAT
Talala,91,JUNAGADH,12,2413,JUNAGADH,13,24,GUJARAT
Nizar (ST),172,SURAT,22,2423,BARDOLI (ST),23,24,GUJARAT
Olpad,155,SURAT,22,2424,SURAT,24,24,GUJARAT
Mandvi (ST),157,SURAT,22,2423,BARDOLI (ST),23,24,GUJARAT
Mangrol,89,JUNAGADH,12,2413,JUNAGADH,13,24,GUJARAT
Kamrej,158,SURAT,22,2423,BARDOLI (ST),23,24,GUJARAT
Una,93,JUNAGADH,12,2413,JUNAGADH,13,24,GUJARAT
Mahuva,99,BHAVNAGAR,14,2414,AMRELI,14,24,GUJARAT
Rajula,98,AMRELI,13,2414,AMRELI,14,24,GUJARAT
Vyara (ST),171,SURAT,22,2423,BARDOLI (ST),23,24,GUJARAT
,0,SURAT,22,2400,,0,24,GUJARAT
Jalalpore,174,NAVSARI  *,24,2425,NAVSARI,25,24,GUJARAT
Navsari,175,NAVSARI  *,24,2425,NAVSARI,25,24,GUJARAT
Dangs (ST),173,THE DANGS,23,2426,VALSAD (ST),26,24,GUJARAT
Gandevi (ST),176,NAVSARI  *,24,2425,NAVSARI,25,24,GUJARAT
Dharampur,178,VALSAD,25,2426,VALSAD (ST),26,24,GUJARAT
Pardi,180,VALSAD,25,2426,VALSAD (ST),26,24,GUJARAT
Kaprada (ST),181,VALSAD,25,2426,VALSAD (ST),26,24,GUJARAT
Umbergaon,182,NAVSARI  *,24,2426,VALSAD (ST),26,24,GUJARAT
